col_de_porte_daily.txt
(    season_year         mae      nmae  season_mean  predicted_mean   pct_error
26         2011  24.953272  0.667049    37.408451       21.632039  -42.173390
27         2012  48.817554  0.728672    66.995283       19.628482  -70.701695
28         2013  39.870801  0.626398    63.650943       34.602569  -45.636990
29         2014  11.270031  0.539577    20.886792       15.650264  -25.071002
30         2015  19.686268  0.605076    32.535211       23.258732  -28.512122
31         2016  25.278669  1.186950    21.297170       41.966514   97.052069
32         2017  59.041941  0.726291    81.292453       86.093207    5.905535
33         2018  11.859855  0.336855    35.207547       34.259895   -2.691616
34         2019  31.712643  0.690143    45.950820       18.152361  -60.496110, np.float64(37.36311273312409), np.float64(1.1715542029473796), np.float64(40.47194121528843), np.float64(44.78084403611232), np.float64(47.46914222946284))

tignes_daily.txt
(    season_year        mae      nmae  season_mean  predicted_mean   pct_error
0          1979  53.565795  0.371065   144.356808       94.270847  -34.695946
1          1980  32.115057  0.342216    93.844340       73.582563  -21.590835
2          1981  54.409169  0.418684   129.952830      127.300091   -2.041309
3          1982  28.572615  0.310652    91.976415      117.585019   27.842577
4          1983  25.141166  0.250342   100.427230      117.118663   16.620425
5          1984  64.568923  1.021538    63.207547      126.445654  100.048347
6          1985  54.648058  0.465819   117.316038      113.883580   -2.925821
7          1986  31.072529  0.323991    95.905660      115.083392   19.996455
8          1987  45.323580  0.454794    99.657277      137.500546   37.973412
9          1988  49.579096  0.701935    70.632075      117.382790   66.189071
10         1989  63.122368  0.990082    63.754717      126.666315   98.677558
11         1990  35.792884  0.385280    92.900943      121.085089   30.337846
12         1991  37.655490  0.486924    77.333333      114.318975   47.826261
13         1992  42.944942  0.391702   109.636792      132.541950   20.891853
14         1993  39.491284  0.416504    94.816038      129.583198   36.668016
15         1994  48.166669  0.385435   124.966981       97.673082  -21.840888
16         1995  55.170570  0.876115    62.971831      117.106012   85.965709
17         1996  27.934117  0.314533    88.811321       94.422008    6.317536
18         1997  48.627095  0.720603    67.481132      114.863508   70.215739
19         1998  22.423946  0.248673    90.174528      103.291973   14.546729
20         1999  24.904896  0.260381    95.647887       90.037793   -5.865361
21         2000  53.727811  0.827422    64.933962      116.675154   79.682788
22         2001  35.856940  0.621610    57.683962       89.177256   54.596273
23         2002  37.992112  0.610593    62.221698       99.712131   60.252989
24         2003  32.558585  0.431844    75.394366       99.112264   31.458448
25         2004  53.049994  0.861544    61.575472      114.209670   85.479163
26         2005  62.378315  0.833493    74.839623      137.216154   83.346935
27         2006  57.186815  0.909634    62.867925      119.870810   90.670857
28         2007  23.574912  0.282899    83.333333       81.183931   -2.579282
29         2008  16.455637  0.193553    85.018868       93.548376   10.032489
30         2009  54.761425  0.759580    72.094340      126.773117   75.843371
31         2010  56.389184  1.386512    40.669811       96.910914  138.287100
32         2011  34.744306  0.375186    92.605634      116.283038   25.567995
33         2012  31.868820  0.305724   104.240566       82.514299  -20.842430
34         2013  61.462142  1.087009    56.542453      115.090407  103.546895
35         2014  46.766342  1.034265    45.216981       91.983323  103.426502
36         2015  52.565130  0.715332    73.483568      121.564344   65.430650
37         2016  32.683979  0.513792    63.613208       63.972289    0.564477
38         2017  76.387744  0.483770   157.900943       81.631580  -48.302032
39         2018  34.654664  0.384206    90.198113      124.156080   37.648201
40         2019  39.467486  0.447660    88.163934       58.590883  -33.543253, np.float64(43.40884371017543), np.float64(0.5659243076033376), np.float64(85.08220695245686), np.float64(107.60778216526879), np.float64(37.359158819633635))
